,p1,p2,p3,p4,p5
1983-09,-0.09622459775701682,-0.20573348980461348,-0.31999867392832404,-0.43110604521612383,-0.5644725629967667
1983-10,-0.09532217987632544,-0.2067536033346079,-0.3231987207976477,-0.442295081358882,-0.5618382557885218
1983-11,-0.09677525249940307,-0.20788554892522884,-0.3197508219772866,-0.4436655419234679,-0.5563286963453394
1983-12,-0.09856145949066192,-0.21115322346265727,-0.32290863950378484,-0.447287602962003,-0.5686489645031927
1984-01,-0.09561922755466168,-0.20702416943432653,-0.3178389201535342,-0.43717251695258597,-0.5584764372419965
1984-02,-0.09917965658274513,-0.21475384354058655,-0.32965750970919905,-0.45328024776851894,-0.575061968341276
1984-03,-0.10608299880815729,-0.2257594698475784,-0.3469085055231524,-0.47558718833997177,-0.6017902591400845
1984-04,-0.10706196229758384,-0.2316672752550984,-0.35313834793039695,-0.48184951552947347,-0.6142990322422668
1984-05,-0.11892994310336173,-0.25221197381155713,-0.3876644834826577,-0.5250597837938152,-0.6703881434394303
1984-06,-0.11886236792595112,-0.255757139667407,-0.39360570959571695,-0.5291593304544955,-0.6682399568538453
1984-07,-0.11555676563551256,-0.24455872806969414,-0.3693984020717709,-0.49572356935636325,-0.6267978000184113
1984-08,-0.1171632277769777,-0.24269595991769782,-0.3674759222041296,-0.4960191164490176,-0.6234905294234574
1984-09,-0.11107682265393552,-0.23524143651234633,-0.35797578967178034,-0.4850441732804982,-0.608750886587914
1984-10,-0.10120250550916254,-0.21644106325453735,-0.3324841994233569,-0.4489312202284009,-0.5638572703177963
1984-11,-0.09451949247995156,-0.20405196105868914,-0.3179351156228018,-0.4396218647596587,-0.5522554418624636
1984-12,-0.09017638033278637,-0.1957229557382175,-0.3115786686139777,-0.4260403337816236,-0.5483544356584048
1985-01,-0.08837230262897128,-0.19334206007742002,-0.30279571026182905,-0.42220443211246234,-0.52943096809156
1985-02,-0.09676423643246938,-0.20776244927590756,-0.32379295946413944,-0.4507658673383278,-0.5655458359662237
1985-03,-0.09587233778551786,-0.20430953022049902,-0.319833432468866,-0.44558422470499204,-0.5561542858523622
