,r2,r3,r4,r5
1976-09,0.1030935445824145,0.1161962118978266,0.133190602474928,0.1366741940254124
1976-10,0.0838128434590071,0.0940387896795232,0.1044189874331658,0.1179822935429164
1976-11,0.0940872398200223,0.1136437656417435,0.1265032892920709,0.1515338134390195
1976-12,0.0847440106996194,0.1025487190662915,0.1144710834181194,0.1371266444232148
1977-01,0.0707914188456948,0.0849849257842154,0.0924732365343742,0.1008609840473713
1977-02,0.0790742050426478,0.0918712831627709,0.0956096766639685,0.0966595015127604
1977-03,0.0787924653476482,0.0896205992533481,0.095888773547203,0.097620720200004
1977-04,0.076752898801485,0.0860072024084116,0.0909740806197502,0.0946836916292341
1977-05,0.0884562156496155,0.100818388076075,0.1117777537728398,0.1153267923415587
1977-06,0.0822257081442714,0.0936654657358942,0.1090678287421019,0.1145920955988771
1977-07,0.0717213176505739,0.0795182538177136,0.09081597567614,0.0918633258187772
1977-08,0.0671744861582546,0.070259731077708,0.0807898468515216,0.0876240921594324
1977-09,0.0596583499576546,0.063116294885722,0.0653980032360146,0.0748449557347072
1977-10,0.0515958042925501,0.0468685806030393,0.0454839714626107,0.0481418036582876
1977-11,0.0402594086042467,0.0284583902661668,0.0228519261235894,0.0176834285249159
1977-12,0.0375328298903439,0.0286510348945259,0.0156751250177151,0.0113271346870832
1978-01,0.0508335925531285,0.0479042638421061,0.0463499620676093,0.0362490149538612
1978-02,0.0484288483639478,0.0439382241799355,0.0435899392368629,0.0374190962050912
1978-03,0.0466995525681938,0.0394706135085608,0.0375922927153513,0.0327157242177154
1978-04,0.0462652253062165,0.0368216917190065,0.0352455992386852,0.028201374892253
1978-05,0.0439989456440491,0.0312248244329816,0.0269020264912423,0.0192627909416177
1978-06,0.0375587921769146,0.0193109120274131,0.0093339339715671,-0.0014769199156773
1978-07,0.0472712402825083,0.0301219653677098,0.0240909897916296,0.0173140242434491
1978-08,0.0470849137509882,0.0333718011725211,0.0256493996996324,0.0150788577800055
1978-09,0.0482349080024379,0.034881163332719,0.0278272047321946,0.0186112031808995
1978-10,0.0453309274708697,0.0290561682122589,0.0167012417674485,0.003790004105988
1978-11,0.0422280084364988,0.0258022190800147,0.0184864709501542,0.012309601223319
1978-12,0.0398396965559768,0.0219457425899029,0.0116642328101887,0.0083853084254058
1979-01,0.0487069096567551,0.0347657302803177,0.0337925205165405,0.0311286223182697
1979-02,0.0493154495465132,0.0346326673242131,0.0354926318306593,0.0251279361030826
1979-03,0.0549172671743664,0.0402859816129143,0.0385921053937805,0.0305820902919135
1979-04,0.0548897878345209,0.040603722746779,0.0382206996416443,0.0319840169507902
1979-05,0.0625242637425703,0.0537737370523052,0.0564518101283244,0.0537447996917896
1979-06,0.0744519723055063,0.0762440824175461,0.0761804169019417,0.0756472502734975
1979-07,0.0713616859951608,0.0665326689405449,0.0646365970701196,0.0639286804041565
1979-08,0.064694771828856,0.0538224182883751,0.050309426820843,0.0476340038274116
1979-09,0.0623032475751044,0.0516103444793165,0.0455592380215197,0.0449470642858038
1979-10,0.0604059756879528,0.0390965317533751,0.0233815323422268,0.0032276275635986
1979-11,0.0739506072840293,0.0469875249342652,0.0430138078410354,0.0282538812095378
1979-12,0.0815079107673941,0.0646221778815752,0.0529231435665615,0.0466306392488648
1980-01,0.0712264539647616,0.0404226046822401,0.0248816395908668,0.0072519313637058
1980-02,0.0486395418131539,-0.0020996556406008,-0.0361380362254312,-0.0550221138125932
1980-03,0.0403632413298813,-0.007944025493872,-0.0322209871351234,-0.0449461797866241
1980-04,0.0891425396529944,0.0652125145243744,0.0585601270345817,0.0523532145681762
1980-05,0.1002444891992839,0.0891117331314963,0.0801674577631569,0.0629343493683835
1980-06,0.0909847022333813,0.081406405422122,0.0690668730859818,0.0511391841027371
1980-07,0.0921593024668654,0.0746053331295054,0.0566790597073207,0.0401824982247568
1980-08,0.0804672981735572,0.0536033993695671,0.024429865409451,-0.0045580210970195
1980-09,0.0786855598915891,0.0515800092788317,0.0220493541037283,-0.0087068573919413
1980-10,0.1032366979777646,0.0866707067994098,0.0627609469370929,0.0470031782022088
1980-11,0.0773697019842196,0.0416170558539863,0.0131864187874056,-0.0028861000811888
1980-12,0.0889073062755918,0.0636770405758224,0.0456844883692933,0.019011545490973
1981-01,0.0925010143029094,0.0725478870848829,0.0601480290126301,0.0419257942502407
