Date,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1992-09,0.0333076701507605,0.06104197573635277,0.08316738746724352,0.09991722444129182,0.1117082602755166,0.1190750760964197,0.12262005279364084,0.12297571985316179,0.1207768382717087,0.11664012366233299,0.11114993907560176,0.10484862630944379,0.09823041632987205,0.09173807726951409
1992-10,0.028999340576369048,0.051534456870913334,0.06834927305328328,0.08045163244736903,0.08878106803925043,0.09412252414576902,0.09710862032357773,0.09824649892181239,0.09794582526888276,0.09654114066762334,0.09430796813843159,0.0914739466378102,0.08822650461751971,0.08471830166591102
1992-11,0.02240845199224841,0.037403218763536854,0.04720072285367787,0.05421978193344467,0.06011249374976626,0.06575981551498158,0.07149728587278478,0.07733474798308318,0.08311479954679005,0.08861261205937968,0.09359311914674054,0.09784071098728978,0.1011724704354037,0.1034421405052405
1992-12,0.016958778299500106,0.026980493526302225,0.032950195864034575,0.03762539568357633,0.04264065320485554,0.04867788492732588,0.05581782652877992,0.06382067262031371,0.0723061631157978,0.08085704968002333,0.08907365473011702,0.09659981413001878,0.10313299407723736,0.10842606601559218
1993-01,0.02002170292371476,0.03553684891063777,0.046755903230623314,0.055343449560241786,0.06258303419465142,0.06912634855304137,0.07515990132701414,0.0806125995259869,0.08530882692101763,0.08906114666421674,0.09171856477621101,0.09318682579010387,0.0934327763794224,0.09248047625225189
1993-02,0.02512777244469367,0.0490127771874316,0.06974859992584578,0.08719190399561053,0.10170763197765317,0.1137143265449305,0.12355889568975317,0.1315112943467094,0.13779174075805514,0.14259805186679267,0.14612397660527568,0.1485682884901857,0.15013706852215583,0.15104183767669646
1993-03,0.030976022842631012,0.061538348497756884,0.08767737898321795,0.10870067295748617,0.12513339808738919,0.13783571918459406,0.1476628199505897,0.1553555734136586,0.16152209311430807,0.16665036169540157,0.17112810875830584,0.1752615832815296,0.17929107494266358,0.1834032416857376
1993-04,0.02885086663275764,0.05858837381023345,0.08508526404768711,0.10731659865725397,0.12543312728951378,0.13995522963247936,0.15146489486994896,0.16050620533158427,0.16756501384203176,0.1730734754875472,0.1774188209645276,0.1809500518707034,0.18398171044609385,0.18679556426659355
1993-05,0.02625345694850851,0.05328706245474402,0.0781766725162015,0.09984440138693806,0.11807251333405255,0.13302849138957795,0.145041755212667,0.15450103730335846,0.1618078272436675,0.16735497874453908,0.1715162653389385,0.17464068476054195,0.17704899490743042,0.17903155033069962
1993-06,0.0216816310457632,0.0437671460694432,0.0656740249029541,0.08677718934047315,0.10657231530436864,0.12472068110001869,0.1410415011557478,0.15548460148927587,0.1680989455512322,0.1790036690015945,0.18836393962072231,0.1963719547776364,0.20323256207301024,0.20915272865030912
1993-07,0.014924340407473327,0.03085987300481617,0.048051707387664205,0.06640452462665569,0.08562844853410798,0.10533680885816152,0.12511029241185376,0.14453776525747788,0.1632410387464218,0.18088870521060826,0.1972026409658076,0.21195968910469873,0.22499026589231094,0.2361750916845898
1993-08,0.013629924523620954,0.028259161762915264,0.043588105338029495,0.05967532104423863,0.07655172375629997,0.09412433250997863,0.11218628841971139,0.13045701390407,0.1486232645140887,0.16637168797140423,0.18341144023852796,0.1994882023550586,0.2143916165953773,0.22795803726045005
1993-09,0.011664558867878094,0.025775354761229954,0.04226786276530714,0.06088949404340041,0.08127333372101572,0.10298914066255385,0.1255787572457718,0.14858068655322712,0.17154703388162676,0.1940549888996648,0.21571435404887798,0.23617218017504718,0.25511527191210337,0.2722711215677399
1993-10,0.013886566436332841,0.03102026046154268,0.050689248007712,0.07212718554684641,0.09466039557724981,0.11773802670406985,0.1409214882452356,0.16386390757785363,0.18629065383171417,0.20798391651243686,0.22877135300649987,0.2485179486136634,0.2671201594804833,0.28450158458840646
1993-11,0.017762127525563852,0.03743320435837875,0.05785586694255105,0.07796597947951334,0.0971140359868558,0.1150150757100259,0.13162485400298402,0.1470327629148051,0.16138879933219308,0.17485975030259793,0.1876056444663683,0.19976882013548658,0.21147025316694334,0.22280974155978794
1993-12,0.018184977410670364,0.03750776434073608,0.05686001473789512,0.07529151851287971,0.09231486605006137,0.10780359229084943,0.12184158708696005,0.13461042513942464,0.14632083962615858,0.15717634315119608,0.16735676013742348,0.17701295033549366,0.1862672825556365,0.19521671003407445
1994-01,0.015263803036298894,0.032086179944482485,0.04981453493739431,0.06740904170444552,0.08414422229909459,0.09966601696242756,0.11388775024867166,0.1268789437240681,0.13878427148071476,0.14977315023163168,0.16001178427103807,0.16964960888526665,0.17881421652113977,0.1876109098183107
1994-02,0.007844399312620529,0.015741252347286856,0.02488232744064,0.03502769003732894,0.045632928380431086,0.056233207310378445,0.06652953311352322,0.07637068177480155,0.08570954752061888,0.0945623624941927,0.10297843224751069,0.11102028591785273,0.11875187774034579,0.12623231392288548
1994-03,0.0006486057308160847,-0.00045694603967084274,-6.0672221426978645e-05,0.0017845913046834957,0.0044633272756139306,0.007487460312387777,0.010579227311871657,0.013612757414501124,0.016548221292570768,0.01938676162211033,0.02214500949948655,0.024842555007002214,0.027496740077148578,0.03012113394987253
1994-04,-0.004809242004057378,-0.013464663006746307,-0.019911661747902647,-0.023640656178872198,-0.025405336945354205,-0.026017408268268392,-0.026067912411460024,-0.025917215571490092,-0.025749548874913118,-0.025630805054049598,-0.02555405248023592,-0.02547151590783949,-0.025315623469315617,-0.0250121753969891
1994-05,-0.008090823050173106,-0.01955823381709551,-0.028273425768598454,-0.0338648230859184,-0.03712167445007428,-0.038887273526953786,-0.039799984139366223,-0.0402734214872518,-0.04054005931806773,-0.04070322518063055,-0.040781212682613394,-0.04074038884230083,-0.04051843829443594,-0.04003993119901686
1994-06,-0.005734549122573644,-0.01645650650106182,-0.026076985248001373,-0.03334759133810456,-0.03860314627556733,-0.04255833112656094,-0.04586179399529267,-0.04896555724980368,-0.05212047099547313,-0.055414379280929967,-0.05881799848381553,-0.0622254392241215,-0.0654858394725496,-0.06842637995640288
1994-07,-0.008974955498476586,-0.022712043139919452,-0.035381193013713425,-0.04652590808166496,-0.056457383714674014,-0.0654876096147946,-0.0738315469207032,-0.08161990908479472,-0.08892353654373047,-0.09577337364103228,-0.10217490905041232,-0.10811823729867825,-0.11358494644484401,-0.11855276081703309
1994-08,-0.010573199346883631,-0.02506027242741876,-0.03761696650555331,-0.048162256785588345,-0.05740119149834429,-0.06593314445982541,-0.07416319433525499,-0.0823378167090248,-0.0905899315923135,-0.09897546447042156,-0.10750029215596986,-0.11613930685243619,-0.12484955420678819,-0.13357908647887112
1994-09,-0.01458089688951332,-0.034363121414017594,-0.05332728087984859,-0.0704742004939786,-0.08607316602978618,-0.10060497503258617,-0.11448350973904534,-0.1279994628743524,-0.1413291106840843,-0.1545594312328266,-0.1677135864763614,-0.18077200598235402,-0.1936883651697753,-0.20640111236875971
1994-10,-0.018133038197557898,-0.0418647092202179,-0.06466593527399575,-0.08527098701455738,-0.10388910515103583,-0.1210709949401284,-0.1373395223458605,-0.1530832485547658,-0.1685469368516242,-0.1838550815617364,-0.19904261718200472,-0.21408296993587478,-0.22891050742110414,-0.2434372692618016
1994-11,-0.018646545909967005,-0.04197324063841652,-0.06297296665009948,-0.08121472571674553,-0.0972675141377055,-0.11171307522882855,-0.12499816312573496,-0.13745460456109954,-0.14931549997760502,-0.16074841165397508,-0.17187524837943186,-0.18277375930133105,-0.19350681902178218,-0.20410427663210856
1994-12,-0.024760574193038065,-0.04954389371668938,-0.06904748362429983,-0.08475552386393667,-0.09770327181147956,-0.10861683386028839,-0.11803302161141652,-0.1263532503405256,-0.1338904131985519,-0.14088237432520592,-0.14750820563601277,-0.15390773227997037,-0.1601791756507638,-0.16640252157748117
1995-01,-0.024096700865755806,-0.049071591987333206,-0.06938242971787162,-0.08587054411698786,-0.09946116399139265,-0.1108531548073306,-0.12057349535109485,-0.12901655066150486,-0.1364900218761116,-0.1432331020210148,-0.14942505515946114,-0.15520893428442195,-0.1606926870926757,-0.16595762881284315
