Date,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
1978-05,0,-0.07634080952380952,-0.15732847619047619,-0.2385957142857143,-0.3198824761904762,-0.40117190476190473,-0.48246057142857146,-0.5637490000000001,-0.6450377142857142,-0.7263265714285714,-0.8076152380952382,-0.8889031904761906,-0.9701925714285715,-1.0514827142857142,-1.1327706666666668,-1.21406
1978-06,0,-0.07908177272727274,-0.16163954545454548,-0.2443122272727273,-0.3269807272727273,-0.40964636363636364,-0.49231199999999997,-0.5749780909090909,-0.6576440000000001,-0.7403097272727273,-0.8229759090909092,-0.905641,-0.9883069090909091,-1.0709730909090909,-1.153636909090909,-1.2363027272727274
1978-07,0,-0.0821678,-0.1666132,-0.25088984999999997,-0.3351408,-0.4193885,-0.5036366999999999,-0.5878838000000001,-0.6721324,-0.7563807,-0.840627,-0.9248755999999999,-1.0091231999999999,-1.0933702,-1.1776176999999999,-1.26186525
1978-08,0,-0.08111126086956523,-0.16337634782608695,-0.24507417391304348,-0.3266806956521739,-0.4082752173913043,-0.4898681739130435,-0.5714611304347825,-0.6530546086956521,-0.7346476956521739,-0.8162421739130434,-0.8978333913043479,-0.9794259130434784,-1.0610204347826087,-1.142613652173913,-1.2242073913043476
1978-09,0,-0.08415205,-0.16600360000000003,-0.24742095000000003,-0.3288118,-0.410201,-0.49158840000000004,-0.57297625,-0.6543652,-0.73575405,-0.8171420000000001,-0.8985289500000001,-0.9799182000000001,-1.06130635,-1.1426947,-1.2240825000000002
1978-10,0,-0.08847395238095239,-0.17192419047619048,-0.25475785714285715,-0.3375537142857143,-0.4203457142857142,-0.5031385714285714,-0.585931,-0.6687238095238095,-0.7515154285714286,-0.8343080952380953,-0.9170988095238096,-0.9998925714285714,-1.0826845714285716,-1.1654766666666667,-1.24827
1978-11,0,-0.0969266,-0.18339859999999997,-0.26651115000000003,-0.349205,-0.43185549999999995,-0.5145,-0.5971448,-0.67979,-0.76243365,-0.8450795,-0.9277234999999999,-1.0103658,-1.09301205,-1.1756577000000001,-1.25830125
1978-12,0,-0.09929035000000001,-0.1893734,-0.27482265,-0.3593292,-0.4436755,-0.5279958,-0.6123124,-0.6966276,-0.7809444000000001,-0.8652595000000001,-0.949575,-1.0338894,-1.1182073499999998,-1.202523,-1.28683725
1979-01,0,-0.10112940909090909,-0.1929138181818182,-0.27927681818181815,-0.3644327272727273,-0.4493704545454546,-0.534271090909091,-0.6191659090909091,-0.7040614545454545,-0.7889543181818184,-0.8738504545454545,-0.9587435,-1.0436367272727274,-1.128531772727273,-1.2134264545454545,-1.298321590909091
1979-02,0,-0.09801511111111111,-0.18688311111111108,-0.27287533333333336,-0.35849000000000003,-0.4440625000000001,-0.529631,-0.615198888888889,-0.7007666666666666,-0.7863345,-0.8719027777777777,-0.9574711666666667,-1.0430393333333334,-1.1286072777777778,-1.2141748888888888,-1.2997408333333333
1979-03,0,-0.09813040909090909,-0.18823436363636364,-0.2750545909090909,-0.3612401818181818,-0.44732045454545455,-0.5333841818181818,-0.619445909090909,-0.7055076363636364,-0.7915680000000002,-0.8776295454545455,-0.9636915000000001,-1.0497523636363635,-1.1358123636363637,-1.2218741818181817,-1.3079352272727274
1979-04,0,-0.09702614999999999,-0.18804410000000002,-0.27609015000000003,-0.3632574,-0.45019000000000003,-0.5370624,-0.6239205,-0.7107732,-0.797625,-0.8844770000000001,-0.9713274999999999,-1.0581797999999998,-1.1450296,-1.2318810000000002,-1.318734
1979-05,0,-0.09759609523809523,-0.18817790476190477,-0.2761902857142857,-0.36363771428571423,-0.45096952380952376,-0.5382802857142858,-0.6255853333333334,-0.7128914285714286,-0.8001951428571429,-0.8874990476190475,-0.9748037619047619,-1.0621079999999998,-1.1494117142857143,-1.2367153333333334,-1.3240207142857143
