qdate     price1     price2     price3     price4     price5
750131     94.114     87.546     81.431     75.486     69.912
750228     94.321     88.318     82.272     76.758     70.666
750331     93.982     87.470     81.111     74.964     69.416
750430     93.536     86.275     79.369     73.034     67.508
750530     94.192     87.297     80.802     74.701     69.003
750630     93.501     86.814     80.226     74.703     68.369
750731     93.082     86.024     79.199     73.388     67.564
750829     92.905     85.765     79.135     72.962     67.087
750930     92.727     85.188     78.626     71.904     66.635
751031     94.052     87.080     80.779     74.701     68.581
751128     93.732     86.655     80.239     74.481     68.000
751231     94.186     87.609     81.201     75.206     69.203
760130     94.606     88.103     81.341     75.059     69.118
760227     94.135     87.489     80.926     74.963     69.281
760331     94.183     87.607     81.240     75.082     69.443
760430     94.209     87.734     81.368     75.535     69.529
760528     93.518     86.510     80.056     73.953     68.300
760630     93.855     87.082     80.821     74.498     68.846
760730     94.175     87.525     81.278     75.073     69.511
760831     94.344     87.850     81.883     75.645     69.886
760930     94.439     88.314     82.148     76.394     70.435
761029     94.693     88.744     82.923     77.169     71.412
761130     95.204     89.896     84.525     79.126     73.876
761231     95.357     89.970     84.327     79.374     73.739
770131     94.566     88.556     82.331     76.453     71.355
770228     94.688     88.713     82.484     76.312     70.919
770331     94.789     88.857     82.638     76.564     70.963
770429     94.733     88.676     82.729     76.434     71.042
770531     94.511     88.548     82.699     76.649     71.210
770630     94.545     88.757     83.083     77.205     71.824
770729     94.033     88.005     82.210     76.199     70.771
770831     93.954     87.843     82.010     76.286     71.019
770930     93.743     87.500     81.557     75.909     70.480
771031     93.443     86.902     80.760     74.934     69.525
771130     93.589     86.965     80.955     75.194     69.758
771230     93.411     86.778     80.628     74.579     68.879
780131     93.174     86.371     80.080     73.989     68.410
780228     93.115     86.189     79.712     73.623     67.947
780331     93.105     85.965     79.497     73.323     67.784
780428     92.875     85.832     79.176     73.074     67.321
780531     92.531     85.322     78.739     72.595     66.612
780630     92.154     84.703     77.929     71.718     65.982
780731     92.265     84.724     78.057     72.007     66.226
780831     92.078     84.793     78.268     72.098     66.391
780929     91.824     84.452     78.051     71.804     66.083
781031     90.932     83.141     76.196     69.789     64.649
781130     90.716     83.071     76.597     70.622     65.255
781229     90.305     82.417     75.454     69.459     63.685
790131     90.682     82.913     76.532     70.573     64.713
790228     90.546     82.521     76.283     69.676     63.621
790330     90.818     82.765     76.208     69.889     64.003
790430     90.675     82.457     75.921     69.509     63.556
790531     90.827     83.089     76.811     70.290     64.766
790629     91.250     84.103     77.395     71.167     65.867
790731     90.991     83.427     76.815     70.598     65.072
790831     90.460     82.596     75.818     69.630     64.209
790928     89.881     82.185     75.151     69.121     63.444
791031     88.318     79.234     71.440     64.858     58.784
791130     89.447     80.282     73.726     67.125     60.723
791231     89.416     80.491     73.234     66.725     60.750
800131     89.034     79.689     72.351     65.184     58.855
800229     86.634     76.123     67.203     60.215     54.322
800331     86.174     75.605     67.673     61.190     54.256
800430     90.145     81.037     73.701     66.972     60.116
800530     91.850     83.970     76.157     68.973     61.902
800630     92.114     83.959     76.256     69.323     62.520
800731     91.481     82.765     74.715     67.740     60.406
800829     89.517     79.993     71.352     63.917     56.864
800930     88.913     79.129     70.662     62.894     56.247
801030     87.851     77.908     69.059     61.613     54.160
801128     86.740     76.859     68.016     60.548     53.304
801231     87.975     78.049     69.844     61.916     55.197
810130     87.412     77.795     69.225     61.375     54.137
810227     86.933     76.816     67.234     59.282     52.135
810331     88.159     77.692     68.453     60.115     52.568
810430     86.493     75.186     66.138     57.357     50.297
810529     86.627     75.835     66.641     58.525     51.888
810630     87.018     75.597     66.589     57.582     51.594
810731     85.807     73.942     64.896     56.380     49.610
810831     85.375     73.141     62.679     55.097     47.828
810930     85.699     73.210     62.785     53.079     47.214
811030     87.143     75.608     65.570     56.416     48.958
811130     89.537     79.332     68.654     61.248     54.377
811231     87.898     76.814     66.723     58.123     51.056
820129     87.254     76.377     66.201     57.561     50.585
820226     87.102     75.944     66.490     58.036     51.067
820331     87.235     75.847     65.975     57.302     50.785
820430     87.542     76.345     66.872     58.762     51.851
820528     87.975     77.030     67.264     59.161     51.834
820630     86.968     75.482     65.327     57.494     49.585
820730     88.480     77.370     67.660     59.926     51.673
820831     89.374     79.238     69.456     60.802     53.811
820930     90.301     80.344     71.516     64.041     56.505
821029     91.008     81.936     72.842     66.254     59.570
821130     91.201     82.344     73.699     65.446     59.269
821231     91.881     83.057     74.431     66.606     59.831
830131     91.657     82.910     74.017     67.031     59.278
830228     91.873     83.282     75.123     67.237     60.490
830331     91.284     82.439     74.046     67.130     59.445
830429     91.702     83.143     75.033     67.746     60.552
830531     91.162     82.194     73.994     66.157     58.955
830630     91.029     81.837     73.688     65.913     58.389
830729     90.235     80.681     71.938     63.350     56.172
830831     90.193     80.503     71.628     63.103     55.560
830930     90.826     81.405     72.615     64.979     56.866
831031     90.908     81.322     72.383     64.256     57.016
831130     90.776     81.230     72.633     64.168     57.331
831230     90.614     80.965     72.404     63.936     56.629
840131     90.881     81.300     72.772     64.586     57.208
840229     90.558     80.674     71.917     63.554     56.267
840330     89.935     79.791     70.687     62.152     54.783
840430     89.847     79.321     70.248     61.764     54.102
840531     88.787     77.708     67.864     59.152     51.151
840629     88.793     77.433     67.462     58.910     51.261
840731     89.087     78.305     69.115     60.913     53.430
840831     88.944     78.451     69.248     60.895     53.607
840928     89.487     79.038     69.909     61.567     54.403
841031     90.375     80.538     71.714     63.831     56.901
841130     90.981     81.542     72.765     64.428     57.565
841231     91.377     82.224     73.229     65.309     57.790
850131     91.542     82.420     73.875     65.560     58.894
850228     90.777     81.240     72.340     63.714     56.805
850329     90.858     81.521     72.627     64.045     57.341
850430     91.464     82.258     73.620     65.149     58.344
850531     92.287     83.996     75.831     67.786     61.474
850628     92.569     84.187     75.727     67.950     61.506
850731     92.171     83.803     75.282     66.998     60.882
850830     92.301     83.772     75.828     67.727     61.506
850930     92.291     84.020     75.935     67.962     61.319
851031     92.524     84.325     76.570     68.911     62.170
851129     92.619     84.693     77.273     69.770     63.155
