,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1979-10,-0.03462630007298839,-0.051952888441354754,-0.06415567684353889,-0.07467504984885437,-0.08443894815617545,-0.09379976860971513,-0.10289996583960852,-0.11180170713356409,-0.12052251835418817,-0.12906396261979838,-0.13741071560923282,-0.145556003666757,-0.1534825548832408,-0.1611750043161055
1979-11,-0.030169673668158904,-0.04830597164709527,-0.06123134417541898,-0.07239659203806492,-0.08321084365844714,-0.09417294645766217,-0.10540958426715166,-0.11689420102943418,-0.12854837043922435,-0.14028557675604153,-0.1520219478738311,-0.16367982889830365,-0.17520188181860255,-0.18653900528490375
1979-12,-0.02250245825468112,-0.02892414460018973,-0.030904616203353722,-0.03312735193673819,-0.03693807732704791,-0.042404715023445845,-0.049211568808714114,-0.05698522433837574,-0.06541179315138662,-0.07424789984730777,-0.08331716987721467,-0.09248337645336814,-0.10165714552835858,-0.11076345961485273
1980-01,-0.007593022251618047,-0.005477969904073281,-0.0007906803731734177,0.0026034227009677363,0.003339031230668213,0.0013146137808631025,-0.003035080752071026,-0.009115453391074141,-0.016344606246656485,-0.02423563563483333,-0.03240341537180402,-0.04056204791566029,-0.04851738492135657,-0.056132937502738234
1980-02,-0.017920722283805455,-0.03206601714628907,-0.04091335900736924,-0.048606010460644555,-0.057759563354853466,-0.06933973617565418,-0.08336523736636173,-0.09943723527981466,-0.11704534763172703,-0.1357124991972843,-0.1550299792663314,-0.17468645345812683,-0.1944455369340943,-0.21414859686633403
1980-03,-0.03555930211234336,-0.05758455255989065,-0.0693466592096233,-0.07609115283053958,-0.08177317341853821,-0.08882374319953355,-0.09851348072121702,-0.11134318129605153,-0.1273533603880181,-0.1463395975241163,-0.1679713831327216,-0.1918904430696735,-0.21772894127694956,-0.24516287206135165
1980-04,-0.014410180060604738,-0.014478069898768667,-0.013039168747795857,-0.013731527684256062,-0.017499314016406073,-0.024246442467743573,-0.033476801536405754,-0.04458010866536044,-0.05697810761085842,-0.07017763416094924,-0.08377931138548964,-0.09748312165795031,-0.11105517436341347,-0.12433102806734914
1980-05,0.015692514858400727,0.027069154213133606,0.03456605198188151,0.03758346240918171,0.036250334061023674,0.031240351570329894,0.023433606721169425,0.013661970807694435,0.0026342393752902676,-0.009099770292243417,-0.021129978969527285,-0.033158559141187455,-0.04497398715377035,-0.05643520197270563
1980-06,0.014897220348469725,0.02122456774775284,0.023533450884056565,0.02364967651649551,0.022141442498674422,0.01899104391513782,0.013984851592782052,0.006888692210219816,-0.002472707265415125,-0.01418928518194533,-0.02827902367931652,-0.04469928550561357,-0.06335438855592472,-0.08411694693455285
1980-07,0.005703327557584572,0.00655119264182013,0.0035283298180369023,-0.002002725514172115,-0.009162614852217088,-0.017678417747342433,-0.027709338795466047,-0.039667978631559055,-0.0540856507882293,-0.07152620122337842,-0.09253179683978537,-0.11757852936263118,-0.14707863123930487,-0.18134973236400503
1980-08,-0.009668995861935344,-0.023328556417848728,-0.036542705233246556,-0.04915524674561751,-0.061919610431130874,-0.07565176147368478,-0.0909550541085503,-0.1081962981208327,-0.12754135623035107,-0.14901283638731339,-0.1725454887483358,-0.19801281971703072,-0.22525675799681877,-0.254108013801827
1980-09,-0.012154882910712348,-0.026310399984924387,-0.03765711670728038,-0.046773347963481905,-0.05509665668709759,-0.06397732719813143,-0.07437207325472728,-0.08681862169430936,-0.10152550472967949,-0.11848030067417746,-0.1375378170197532,-0.1584857836755857,-0.1810788917568228,-0.20508069153679243
1980-10,-0.005488244573055983,-0.007419036212655338,-0.007236942422585359,-0.006780066711257526,-0.007003725586965673,-0.008484230918768196,-0.011535055184735243,-0.01626800076110403,-0.022657627534771574,-0.030587913565280456,-0.0398888942111556,-0.0503640150681198,-0.0618277072573738,-0.07409120602150107
1980-11,-0.0050023499567784305,-0.0033495477547342556,-0.00148164696788812,-0.0005797673261600106,-0.0003579236290629506,-0.0004473703438158949,-0.0006151625265851113,-0.0007243546591559347,-0.0006937117189913244,-0.00047295189156978945,-1.8163438875534732e-05,0.0007002127997842444,0.0017176194082776375,0.0030574461399608954
1980-12,-0.020213239681342553,-0.02718973171254866,-0.032686918208952545,-0.03616553461463613,-0.03820933025531169,-0.03932918936440517,-0.0398292291671985,-0.03987741701780159,-0.03954984179875262,-0.038864997777221855,-0.03781486532644318,-0.03636489838349846,-0.03448861775058948,-0.03214759874250761
1981-01,-0.006202659040338603,-0.0029508968549765632,-0.0033103694875145917,-0.0039759358972193265,-0.0034567154299264408,-0.0014754106068310402,0.0018036021962996307,0.006123747329763951,0.011243858353505193,0.017000354260665318,0.023287788267389947,0.03004634119755248,0.037256766494821764,0.04493473544708981
1981-02,-0.007947077558760864,-0.006992159207202055,-0.008546277563893052,-0.009754490021273252,-0.009307246376966435,-0.006918796055986463,-0.0027751859986115124,0.0028007668425279325,0.009505204141923185,0.0170793599288563,0.025350910364255533,0.03420034051307479,0.04356609004348985,0.05341164320440514
1981-03,0.021664660877482953,0.035441567988167486,0.04198377092265755,0.0455319522064988,0.049018891319532645,0.05416846128056335,0.06186361376881243,0.07247122674694789,0.08605668800824506,0.10252174218282221,0.1216968282530331,0.14338262022975853,0.1673736042579983,0.19347940670751446
